name,party,article_size,Ocak 2013,Şubat 2013,Mart 2013,Nisan 2013,Mayıs 2013,Haziran 2013,Temmuz 2013,Ağustos 2013,Eylül 2013,Ekim 2013,Kasım 2013,Aralık 2013,Ocak 2014,Şubat 2014,Mart 2014,Nisan 2014,Mayıs 2014,Haziran 2014,Temmuz 2014,Ağustos 2014,Eylül 2014,Ekim 2014,Kasım 2014,Aralık 2014,Ocak 2015,Şubat 2015,Mart 2015,Nisan 2015,Mayıs 2015,Haziran 2015,Temmuz 2015,Ağustos 2015,Eylül 2015,Ekim 2015,Kasım 2015,Aralık 2015,Ocak 2016,Şubat 2016,Mart 2016,Nisan 2016,Mayıs 2016,Haziran 2016,Temmuz 2016,Ağustos 2016,Eylül 2016,Ekim 2016,Kasım 2016,Aralık 2016,Ocak 2017,Şubat 2017,Mart 2017,Nisan 2017,Mayıs 2017,Haziran 2017,Temmuz 2017,Ağustos 2017,Eylül 2017,Ekim 2017,Kasım 2017,Aralık 2017,Ocak 2018,Şubat 2018,Mart 2018,Nisan 2018,Mayıs 2018,Haziran 2018,Temmuz 2018,Ağustos 2018,Eylül 2018,Ekim 2018,Kasım 2018,Aralık 2018,Ocak 2019,Şubat 2019,Mart 2019,Nisan 2019,Mayıs 2019,Haziran 2019,Temmuz 2019,Ağustos 2019,Eylül 2019,Ekim 2019,Kasım 2019,Aralık 2019,Ocak 2020,Şubat 2020,Mart 2020,Nisan 2020,Mayıs 2020,Haziran 2020,Temmuz 2020,Ağustos 2020,Eylül 2020,Ekim 2020,Kasım 2020,Aralık 2020,Ocak 2021,Şubat 2021,Mart 2021,Nisan 2021,Mayıs 2021,Haziran 2021,Temmuz 2021,Ağustos 2021,Eylül 2021,Ekim 2021,Kasım 2021,Aralık 2021,Ocak 2022,Şubat 2022,Mart 2022,Nisan 2022,Mayıs 2022,Haziran 2022,Temmuz 2022,Ağustos 2022,Eylül 2022,Ekim 2022,Kasım 2022,Aralık 2022,Ocak 2023,Şubat 2023,Mart 2023,Nisan 2023,Mayıs 2023,Haziran 2023,Temmuz 2023,Ağustos 2023,Eylül 2023,Ekim 2023,Kasım 2023,Aralık 2023,Ocak 2024,Şubat 2024,Mart 2024,Nisan 2024,Mayıs 2024,Haziran 2024,Temmuz 2024,Ağustos 2024,Eylül 2024,Ekim 2024,Kasım 2024,Aralık 2024
Deniz_Baykal,cumhuriyet_halk_partisi,40420.0,0,2,-374,85,0,529,-1423,0,0,0,0,0,-57,51,0,0,-7,0,8,-7,-499,0,0,0,0,486,0,18,-1,2026,587,0,779,-27,720,412,1848,0,0,0,122,3013,58,52,14,0,11,111,8,-2,6,28,-51,0,20,9,0,0,-70,47,-3,19,0,0,0,59,47,0,0,0,0,0,104,0,26,0,0,0,0,0,0,1255,0,6,0,2811,502,46,4,3,0,534,3,1433,24,138,59,23,0,0,-9,-30,0,0,-309,-291,-72,162,128,3931,826,1,62,-65,98,29,492,719,530,0,0,3117,-16,1911,136,592,118,0,404,0,31,96,91,9,143,108,-44,0,0,0,0,0,0,0
Ahmet_Kaya,cumhuriyet_halk_partisi,38295.0,4,1,-338,81,0,195,0,20,0,415,79,-526,-181,-172,0,4,-57,-28,0,0,10,23,215,6,-15,0,46,40,-32,31403,-31369,0,-328,0,194,6895,-54,64,-1,32,-16,0,20,0,21,-10,11,0,0,-107,10,0,0,0,0,9,0,9,0,28,406,0,0,0,0,0,0,56,0,0,57,0,24,-15,0,0,0,0,48,0,0,0,0,0,0,0,492,301,191,38,0,0,628,1140,-218,184,-66,4,117,-126,3583,-64,38,-2,0,47,0,71,10,-28,-43,31,0,-24,0,282,296,0,278,0,42,0,328,0,-3,0,305,83,0,262,-262,97,0,42,-38,0,-1,0,0,0,0,0,0,0
Özgür_Özel,cumhuriyet_halk_partisi,32692.0,0,0,0,2067,-486,0,0,0,0,0,0,0,35,0,0,0,301,51,425,0,46,0,0,0,0,0,851,0,0,221,0,0,0,8,105,0,0,0,0,0,0,0,1220,31,0,0,0,11,-31,0,0,0,0,0,20,0,0,400,-142,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,30,0,4,4,520,16,55,-36,0,1091,0,3,0,0,-150,6,0,0,23,0,0,0,0,13,0,0,-1,0,298,0,-8,110,0,6,0,0,138,0,292,0,46,1326,-812,300,854,18010,3972,24,140,12,253,243,599,63,0,0,0,0,0,0
Süleyman_Soylu,adalet_ve_kalkınma_partisi,31207.0,0,-113,10,156,0,3,-2,0,0,54,0,0,9,101,0,0,0,0,70,0,342,-343,0,0,0,0,0,97,49,2,272,-1,808,12,1451,0,0,0,17,1,21,312,225,1085,2684,-9,-32,4,-12,-1,0,0,-55,0,0,0,4,0,0,3582,0,0,15,0,8,0,382,-1,0,0,0,0,0,0,26,0,24,81,0,0,-319,0,0,0,0,0,209,2959,847,-362,0,901,-274,208,-263,52,0,-5,28,1399,2077,3773,-3324,-41,0,996,-9,0,0,20,0,0,652,0,0,2563,0,232,2,44,0,319,-136,187,-187,640,64,0,211,0,-73,-4,15,8,108,0,1,0,0,0,0,0,0,0
Ümit_Özdağ,zafer_partisi,29586.0,0,0,0,0,0,0,-2,0,0,0,0,0,17,0,20,-27,0,0,0,0,22,0,0,42,0,0,97,116,16,136,0,0,0,16,306,31,21,130,78,43,3151,1,0,0,49,0,1494,46,129,-1,0,0,-1,0,0,0,8,133,-43,47,0,2,15,0,0,110,-687,37,2,0,0,-15,0,0,31,0,23,142,0,-54,0,0,0,0,64,1,23,253,0,0,0,0,0,671,279,28,266,-64,1536,223,59,-313,13,1267,-910,918,0,129,150,9,5,495,2735,1633,290,870,281,412,-7,787,-2852,-16,1335,85,0,2694,2,-365,537,87,18,-440,70,0,905,909,2,0,0,0,0,0,0,0
Saffet_Sancaklı,milliyetçi_hareket_partisi,28752.0,0,0,-122,-4,0,0,0,0,84,2,0,120,62,34,244,0,0,54,460,0,0,0,0,38,0,0,0,392,0,153,0,-513,1407,32,423,-28,0,26,0,0,0,911,0,0,0,-27,315,0,-10,-5,0,36,-13,0,23,254,0,0,0,0,0,0,18,-16,30,53,43,62,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,86,0,84,40,0,13,0,0,1,2490,0,19,-13,0,0,0,0,0,0,98,0,0,39,176,0,0,0,0,0,85,-3,0,1,0,0,0,-3,0,0,0,53,0,50,0,0,103,-47,746,5,50,-42,479,2263,0,0,0,0,0,0,0
Barış_Atay,türkiye_i̇şçi_partisi,28529.0,1510,-1530,34,-34,0,59,0,0,0,0,141,17,0,0,-141,141,0,35,0,0,0,0,0,0,-166,0,0,0,0,0,0,12,0,0,0,8,-8,0,0,163,0,-20,93,0,18,-111,1914,27,1,0,0,-2,30,0,0,0,-1,0,-30,0,0,0,0,0,365,520,280,0,25,495,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,72,38,-107,0,-1,68,2698,0,0,9,169,-53,189,0,0,6,23,44,0,0,0,99,0,13,-43,0,408,-11,68,101,404,376,215,823,-546,363,7,691,473,11696,-4636,4674,245,12,2704,150,-4,199,0,196,1234,0,0,0,0,0,0,0
Numan_Kurtulmuş,adalet_ve_kalkınma_partisi,27953.0,0,0,-173,0,0,-60,-11,-2,20,54,0,0,0,0,0,0,0,0,0,792,48,0,0,0,15,0,165,-30,-17,130,38,67,-53,-63,547,759,-1,0,-12,-10,762,1314,1,79,-17,6,-70,2,-47,25,31,-41,41,0,690,0,43,18,-46,48,10,0,0,0,0,0,178,698,3,0,0,-30,0,6,26,-19,0,6,0,0,-33,-1,0,0,0,0,977,149,1,10,22,424,-61,929,17,20,0,0,57,-58,0,312,47,-32,0,0,0,0,-2,0,0,0,3,4401,0,180,48,130,0,104,0,-35,157,645,-144,594,90,60,0,14,0,54,69,15,48,41,21,0,0,0,0,0,0,0
Berat_Albayrak,adalet_ve_kalkınma_partisi,27898.0,69,0,0,0,14,65,0,0,0,1459,0,0,0,372,-372,0,0,0,0,0,0,0,0,0,0,0,0,170,5,57,0,0,1,0,1953,1370,94,0,0,40,719,10,-101,-478,23,0,11,0,-135,6,0,0,0,0,0,0,0,7,0,0,0,0,4,0,15,0,1448,217,11,0,0,0,0,0,26,65,0,-27,32,-6,0,0,0,0,0,5677,92,-12,-85,276,-528,-10,-55,2991,8132,256,-23,-18,33,57,-9,0,0,0,0,1770,-11,0,3,0,564,0,35,0,1,0,-46,-1,0,0,0,-12,29,0,-243,1,0,74,-1,0,0,0,47,0,109,0,0,-9,0,0,0,0,0,0
Mehmet_Şimşek,adalet_ve_kalkınma_partisi,26533.0,0,0,-139,15,0,-355,0,-305,220,326,22,0,0,0,0,0,2,0,0,43,0,0,0,1054,0,0,0,0,0,216,0,-284,252,-38,714,0,0,67,6363,1671,8049,-214,128,-93,0,0,-546,0,-32,229,0,0,0,14,0,0,0,0,0,47,0,-1,0,21,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,570,503,43,0,0,0,342,2365,-21,10,-660,-26,2,743,70,37,0,0,23,9,-9,-263,0,-83,0,0,0,0,0,0,5707,0,0,0,0,77,18,-8,-9329,-6,304,568,273,187,476,1566,-641,399,30,92,0,-34,0,45,174,381,56,0,0,0,0,0,0,0
